orgunitlevel2,orgunitlevel3,organisationunitname,organisationunitid,Eth_Month_Year,Travel,Positive,Tests,Positivity_Rate,Period_Gregorian_start,Period_Gregorian_end,Period
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Miazia 2014,1.0,10.0,91.0,10.869565217391305,2022-04-09,2022-05-08,2022 Apr
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Nehase 2013,3.0,13.0,124.0,10.4,2021-08-07,2021-09-05,2021 Aug
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Sene 2014,4.0,31.0,157.0,19.62025316455696,2022-06-08,2022-07-07,2022 Jun
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tahesas 2014,0.0,23.0,135.0,16.911764705882355,2021-12-10,2022-01-08,2021 Dec
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tikemet 2014,1.0,16.0,155.0,10.256410256410255,2021-10-11,2021-11-09,2021 Oct
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Tir 2014,0.0,17.0,125.0,13.492063492063492,2022-01-09,2022-02-07,2022 Jan
Addis Ababa City Administration,Yeka Sub City,Yeka Sub City,y5Wg5rqVqVw,Yekatit 2014,0.0,18.0,151.0,11.842105263157894,2022-02-08,2022-03-09,2022 Feb
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Ginbot 2014,0.0,156.0,426.0,36.53395784543326,2022-05-09,2022-06-07,2022 May
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Hamle 2013,0.0,41.0,88.0,46.06741573033708,2021-07-08,2021-08-06,2021 Jul
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Hidar 2014,0.0,43.0,182.0,23.49726775956284,2021-11-10,2021-12-09,2021 Nov
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Megabit 2014,0.0,89.0,206.0,42.99516908212561,2022-03-10,2022-04-08,2022 Mar
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Meskerem 2014,0.0,84.0,317.0,26.41509433962264,2021-09-11,2021-10-10,2021 Sept
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Miazia 2014,0.0,118.0,317.0,37.10691823899371,2022-04-09,2022-05-08,2022 Apr
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Nehase 2013,0.0,65.0,239.0,27.083333333333332,2021-08-07,2021-09-05,2021 Aug
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Sene 2014,4.0,95.0,291.0,32.534246575342465,2022-06-08,2022-07-07,2022 Jun
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tahesas 2014,0.0,61.0,241.0,25.206611570247933,2021-12-10,2022-01-08,2021 Dec
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tikemet 2014,1.0,41.0,207.0,19.71153846153846,2021-10-11,2021-11-09,2021 Oct
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Tir 2014,0.0,54.0,284.0,18.947368421052634,2022-01-09,2022-02-07,2022 Jan
Afar Region,Zone 1 Zone,Adaar Woreda,B2g4E9bpYaC,Yekatit 2014,1.0,65.0,251.0,25.7936507936508,2022-02-08,2022-03-09,2022 Feb
